,0
1001540,1543
1001541,1544
1001542,1545
1001543,1546
1001544,1547
1001545,1548
1001547,1549
1001548,1550
1001549,1551
1001550,1552
1001551,1553
1001552,1554
1001553,1555
1001554,1556
1001555,1557
1001556,1558
1001557,1559
1001558,1560
1001559,1561
1001560,1562
1001562,1563
1001563,1564
1001564,1565
1001565,1566
1001566,1567
1001567,1568
1001568,1569
1001569,1570
1001570,1571
1001571,1572
1001572,1573
1001573,1574
1001574,1575
1001575,1576
1001576,1577
1001577,1578
1001578,1579
1001579,1580
1001580,1581
1001581,1582
1001582,1583
1001583,1584
1001584,1585
1001585,1586
1001586,1587
1001587,1588
1001588,1589
1001589,1590
1001590,1591
1001591,1592
1001592,1593
1001593,1594
1001594,1595
1001595,1596
1001596,1597
1001597,1598
1001598,1599
1001599,1600
1001600,1601
1001601,1602
1001602,1603
1001603,1604
1001604,1605
1001605,1606
1001606,1607
1001607,1608
1001608,1609
1001609,1610
1001610,1611
1001611,1612
1001612,1613
1001613,1614
1001614,1615
1001615,1616
1001616,1617
1001617,1618
1001618,1619
1001619,1620
1001620,1621
1001622,1622
1001623,1623
1001624,1624
1001625,1625
1001626,1626
1001627,1627
1001628,1628
1001629,1629
1001630,1630
1001631,1631
1001632,1632
1001633,1633
1001634,1634
1001635,1635
1001636,1636
1001637,1637
1001638,1638
1001639,1639
1001640,1640
1001641,1641
1001642,1642
1001643,1643
1001644,1644
1001645,1645
1001646,1646
1001647,1647
1001648,1648
1001649,1649
1001650,1650
1001651,1651
1001652,1652
1001653,1653
1001655,1654
1001656,1655
1001657,1656
1001658,1657
1001659,1658
1001660,1659
1001661,1660
1001662,1661
1001663,1662
1001664,1663
1001665,1664
1001666,1665
1001667,1666
1001668,1667
1001669,1668
1001670,1669
1001671,1670
1001672,1671
1001673,1672
1001674,1673
1001675,1674
1001676,1675
1001677,1676
1001678,1677
1001679,1678
1001680,1679
1001681,1680
1001682,1681
1001683,1682
1001684,1683
1001685,1684
1001686,1685
1001687,1686
1001688,1687
1001689,1688
1001690,1689
1001691,1690
1001692,1691
1001693,1692
1001694,1693
1001695,1694
1001696,1695
1001697,1696
1001698,1697
1001699,1698
1001700,1699
1001701,1700
1001702,1701
1001703,1702
1001704,1703
1001705,1704
1001706,1705
1001707,1706
1001708,1707
1001709,1708
1001710,1709
1001711,1710
1001712,1711
1001713,1712
1001714,1713
1001715,1714
1001716,1715
1001717,1716
1001718,1717
1001719,1718
1001720,1719
1001721,1720
1001722,1721
1001723,1722
1001724,1723
1001725,1724
1001726,1725
1001727,1726
1001728,1727
1001729,1728
1001731,1729
1001732,1730
1001733,1731
1001734,1732
1001736,1733
1001737,1734
1001738,1735
1001739,1736
1001740,1737
1001741,1738
1001742,1739
1001743,1740
1001745,1741
1001746,1742
1001747,1743
1001748,1744
1001749,1745
1001750,1746
1001751,1747
1001752,1748
1001753,1749
1001754,1750
1001756,1751
1001757,1752
1001758,1753
1001759,1754
1001760,1755
1001761,1756
1001762,1757
1001763,1758
1001764,1759
1001765,1760
1001766,1761
1001767,1762
1001768,1763
1001769,1764
1001770,1765
1001771,1766
1001772,1767
1001773,1768
1001774,1769
1001776,1770
1001777,1771
1001778,1772
1001779,1773
1001780,1774
1001781,1775
1001782,1776
1001783,1777
1001784,1778
1001785,1779
1001786,1780
1001787,1781
1001788,1782
1001789,1783
1001790,1784
1001791,1785
1001792,1786
1001793,1787
1001794,1788
1001795,1789
1001796,1790
1001797,1791
1001798,1792
1001799,1793
1001800,1794
1001801,1795
1001802,1796
1001803,1797
1001804,1798
1001805,1799
1001806,1800
1001807,1801
1001808,1802
1001809,1803
1001810,1804
1001811,1805
1001812,1806
1001813,1807
1001814,1808
1001815,1809
1001816,1810
1001817,1811
1001818,1812
1001819,1813
1001820,1814
1001821,1815
1001822,1816
1001823,1817
1001824,1818
1001825,1819
1001826,1820
1001827,1821
1001828,1822
1001829,1823
1001830,1824
1001831,1825
1001832,1826
1001833,1827
1001834,1828
1001835,1829
1001836,1830
1001837,1831
1001838,1832
1001839,1833
1001840,1834
1001841,1835
1001842,1836
1001843,1837
1001844,1838
1001845,1839
1001846,1840
1001847,1841
1001848,1842
1001849,1843
1001850,1844
1001851,1845
1001852,1846
1001853,1847
1001854,1848
1001855,1849
1001856,1850
1001857,1851
1001858,1852
1001859,1853
1001860,1854
1001862,1855
1001863,1856
1001864,1857
1001865,1858
1001866,1859
1001867,1860
1001868,1861
1001869,1862
1001870,1863
1001871,1864
1001872,1865
1001873,1866
1001874,1867
1001875,1868
1001876,1869
1001877,1870
1001878,1871
1001879,1872
1001880,1873
1001881,1874
1001882,1875
1001883,1876
1001884,1877
1001885,1878
1001886,1879
1001887,1880
1001888,1881
1001889,1882
1001890,1883
1001891,1884
1001892,1885
1001893,1886
1001894,1887
1001895,1888
1001896,1889
1001897,1890
1001898,1891
1001899,1892
1001900,1893
1001901,1894
1001902,1895
1001903,1896
1001904,1897
1001905,1898
1001906,1899
1001907,1900
1001908,1901
1001909,1902
1001910,1903
1001911,1904
1001912,1905
1001913,1906
1001914,1907
1001915,1908
1001916,1909
1001917,1910
1001918,1911
1001919,1912
1001920,1913
1001921,1914
1001922,1915
1001923,1916
1001924,1917
1001926,1918
1001927,1919
1001928,1920
1001929,1921
1001930,1922
1001931,1923
1001932,1924
1001933,1925
